Notification data no longer exist.,Notification data no longer exist.
"A total of %1 record(s) have not been deleted, as they might be published or sent","A total of %1 record(s) have not been deleted, as they might be published or sent"
A total of %1 record(s) have been deleted.,A total of %1 record(s) have been deleted.
Please create notification first.,Please create notification first.
Notification does not exist.,Notification does not exist.
Error publishing notification. Check if it enabled and not already published/sent,Error publishing notification. Check if it enabled and not already published/sent
Notification has been added in queue to be send.,Notification has been added in queue to be send.
There is not any device registered.,There is not any device registered.
Something went wrong while saving Notification.,Something went wrong while saving Notification.
Notification data has been successfully saved.,Notification data has been successfully saved.
Please publish notification first.,Please publish notification first.
Notification does not exist.,Notification does not exist.
Error sending notification. Check if it is enabled/published and not already sent,Error sending notification. Check if it is enabled/published and not already sent
Payment Confirmation for your order #%1 was successfull.,Pembayaran untuk no. order #%1 telah berhasil
Payment Confirmation for your order #%1 has been successfully received.,Konfirmasi pembayaran untuk no. order #%1 telah kami terima
Your order #%1 is being prepared.,Pesanan anda #%1 sedang disiapkan
Your order #%1 has been canceled.,Pesanan anda #%1 telah dibatalkan
Your order #%1 has been delivered successfully.,Pesanan anda #%1 telah diterima
Your order #%1 has been returned.,Retur anda #%1 telah kami terima
Please Fill all the Required Fields,Please Fill all the Required Fields
Please provide device id.,Please provide device id.
Bank Transfer for order #%1 submitted successfully.,Pembayaran dengan bank transfer untuk no. order #%1 telah berhasil diajukan
Unable to send notification to registration id,Unable to send notification to registration id
Your order #%1 placed successfully.,Pesanan anda #%1 telah berhasil dibuat
Your return request for order #%1 has been submitted successfully.,Permintaan refund dengan no. order #%1 telah berhasil diajukan
"Your order #%1 is shipped, Tracking Number For %2 is %3 .","Pesanan anda #%1 telah dikirim, No. AWB untuk order %2 adalah %3"
Your order #%1 is shipped.,Pesanan anda #%1 telah dikirim 
